open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1.69991E+12,36845.1,36879.5,36767.5,36813.7,1890.378,1.69991E+12,69613754.32,27371,873.899,32182108.25,0
1.69991E+12,36813.7,36818,36370,36539.9,11560.503,1.69991E+12,422849818.1,92685,3894.104,142472512.4,0
1.69991E+12,36540,36695.6,36384.9,36581.3,9836.656,1.69991E+12,359602539.9,94110,5483.082,200465298.9,0
1.69991E+12,36581.2,36600,36350,36476,9212.259,1.69991E+12,335847539.3,91302,4126.944,150469294.7,0
1.69991E+12,36475.9,36563.1,36450,36504,3015.985,1.69991E+12,110134732,35234,1493.909,54547916.71,0
1.69991E+12,36503.9,36580.9,36461.4,36513.8,2453.811,1.69991E+12,89632845.8,28123,1227.609,44841264.56,0
1.69991E+12,36513.7,36582.4,36472.3,36570.2,1800.274,1.69991E+12,65784768.95,19384,765.159,27958656.82,0
1.69991E+12,36570.2,36628,36518.4,36518.5,1845.474,1.69992E+12,67522942.62,19663,749.888,27443313.5,0
1.69992E+12,36518.3,36575.1,36480,36493.1,1281.007,1.69992E+12,46789262.59,15132,608.196,22216235.86,0
1.69992E+12,36493.1,36586.8,36480.3,36558,1284.314,1.69992E+12,46929010.47,17141,681.437,24898613.77,0
1.69992E+12,36558,36597,36546,36592.9,1103.737,1.69992E+12,40370490.7,15648,507.63,18566216.36,0
1.69992E+12,36592.8,36619.8,36514,36516.8,1480.735,1.69992E+12,54166462.13,18355,690.313,25253940.18,0
1.69992E+12,36516.8,36598,36482,36486.2,1565.025,1.69992E+12,57175968.78,18281,787.468,28770019.67,0
1.69992E+12,36486.2,36496,36375.5,36396.1,5111.165,1.69992E+12,186221744.2,57225,2314.779,84332413.89,0
1.69992E+12,36396,36441.6,36222,36378,9864.089,1.69992E+12,358251991.6,94163,4549.524,165254815.3,0
1.69992E+12,36377.1,36459.8,36330,36379.5,3088.988,1.69992E+12,112470308.7,36991,1567.473,57070820.8,0
1.69992E+12,36379.6,36394.5,36220.4,36270.3,3905.444,1.69992E+12,141751745.8,44218,1633.563,59295942.19,0
1.69992E+12,36270.3,36417.4,36238.7,36400.1,3497.633,1.69992E+12,127096568.2,33570,2154.232,78283427.64,0
1.69992E+12,36400.1,36446.3,36363.6,36428.8,2097.095,1.69993E+12,76355805,22892,1039.207,37840093.37,0
1.69993E+12,36428.8,36457.3,36394.3,36429.5,1215.544,1.69993E+12,44280237.21,16413,579.81,21122060.23,0
1.69993E+12,36429.5,36431.1,36350,36356.8,1415.75,1.69993E+12,51519177.11,15402,549.993,20011910.98,0
1.69993E+12,36356.7,36473.2,36356,36430.9,1497.02,1.69993E+12,54526721.67,17018,962.257,35044210.87,0
1.69993E+12,36430.9,36447,36383.3,36422,800.028,1.69993E+12,29128848.18,12946,351.172,12785958.89,0
1.69993E+12,36421.9,36468.8,36410,36453.1,954.917,1.69993E+12,34802480.63,13503,449.348,16377208.1,0
1.69993E+12,36453.4,36494,36430.7,36456.3,1156.717,1.69993E+12,42174896.39,14837,691.335,25206950.57,0
1.69993E+12,36456.3,36499.6,36456.2,36493.9,1044.04,1.69993E+12,38091327.52,13853,645.828,23563643.18,0
1.69993E+12,36493.9,36514.2,36469,36470.9,1113.567,1.69993E+12,40645188.47,13847,587.731,21453019.3,0
1.69993E+12,36471,36508.8,36458,36506.5,649.528,1.69993E+12,23696110.07,10932,307.015,11201530.9,0
1.69993E+12,36506.5,36508.4,36469.3,36473,701.563,1.69993E+12,25595842.18,11202,361.478,13187556.18,0
1.69993E+12,36473.1,36499.7,36439.4,36440.1,904.746,1.69994E+12,32993251.32,11979,339.543,12382517.52,0
1.69994E+12,36440.2,36444.6,36418.5,36418.6,687.064,1.69994E+12,25032225.63,10248,247.758,9026815.251,0
1.69994E+12,36418.6,36530.6,36404.8,36521.5,1546.113,1.69994E+12,56414557.56,17700,986.044,35975409.04,0
1.69994E+12,36521.5,36551.8,36495,36528,1476.511,1.69994E+12,53930127.3,16238,649.97,23743676.62,0
1.69994E+12,36528,36561.3,36527,36553.1,1306.51,1.69994E+12,47745919.37,14058,732.713,26776609.98,0
1.69994E+12,36553.2,36607.6,36553.1,36580.9,1900.793,1.69994E+12,69539552.9,21136,952.016,34828408.98,0
1.69994E+12,36581,36646,36575.8,36643.1,1702.987,1.69994E+12,62361748.12,19268,1055.508,38653222.51,0
1.69994E+12,36643.2,36654,36611.4,36648.1,1133.94,1.69994E+12,41540677.13,14979,521.962,19122913.15,0
1.69994E+12,36648,36693.4,36608.1,36670.5,1936.095,1.69994E+12,70962685.01,23072,999.007,36620106.67,0
1.69994E+12,36670.5,36728.6,36655,36670.5,2168.884,1.69994E+12,79581831.23,22324,1148.394,42141248.77,0
1.69994E+12,36670.5,36709.8,36623.3,36655.2,1791.31,1.69994E+12,65662564.12,20409,805.403,29523839,0
1.69994E+12,36655.2,36684.2,36655.1,36676.9,748.98,1.69995E+12,27468416.36,11841,351.507,12891307.04,0
1.69995E+12,36676.9,36725,36655.2,36667.1,1464.742,1.69995E+12,53747422.57,17675,752.559,27616552.48,0
1.69995E+12,36667,36712,36656.6,36698,790.446,1.69995E+12,29001473.03,11322,410.352,15056386.36,0
1.69995E+12,36698.1,36740.8,36686,36708.4,1176.416,1.69995E+12,43192290.62,14555,527.241,19357468.07,0
1.69995E+12,36708.3,36723.8,36678,36705.5,849.071,1.69995E+12,31163092.28,12073,315.894,11594545.26,0
1.69995E+12,36705.5,36770,36672,36742,1577.19,1.69995E+12,57903825.14,18263,877.941,32239951.08,0
1.69995E+12,36742.1,36770,36691.2,36754.5,1977.503,1.69995E+12,72653474.1,22593,1096.243,40276725.73,0
1.69995E+12,36754.5,36754.6,36694.5,36718,1279.714,1.69995E+12,46999041.32,15354,606.571,22277042.53,0
1.69995E+12,36718,36779.9,36689.6,36765.1,1869.717,1.69995E+12,68689713.61,18775,945.041,34720396.54,0
1.69995E+12,36765,36773.4,36662.1,36689.9,2599.405,1.69995E+12,95448116.13,18115,843.509,30966720.23,0
1.69995E+12,36689.8,36695.2,36608.1,36625.4,2278.281,1.69995E+12,83501577.99,21086,1040.646,38144169.18,0
1.69995E+12,36625.5,36665.9,36557.9,36619.6,3436.367,1.69996E+12,125787379.8,32996,1709.286,62576229.18,0
1.69996E+12,36619.6,36626.7,36502,36507.4,4200.778,1.69996E+12,153504185,38543,1551.525,56696536.68,0
1.69996E+12,36507.5,36529.4,36415.5,36501,4358.617,1.69996E+12,159001738,44292,2087.159,76142503.19,0
1.69996E+12,36501.1,36559,36490,36520,2332.396,1.69996E+12,85196404.66,24626,1290.384,47136541.67,0
1.69996E+12,36519.9,36550.4,36416.2,36454.8,2673.523,1.69996E+12,97533831.7,27158,1207.407,44052754.03,0
1.69996E+12,36454.8,36526.1,36433.5,36515.3,1511.919,1.69996E+12,55163840.38,19481,813.146,29668514.29,0
1.69996E+12,36515.3,36529.2,36359.5,36404.7,4295.949,1.69996E+12,156394966.9,42104,1784.549,64965288.4,0
1.69996E+12,36404.7,36425.5,36258.2,36320.3,5055.922,1.69996E+12,183714625.3,51436,1994.275,72478435.88,0
1.69996E+12,36320.3,36377,36261,36299.7,3396.999,1.69996E+12,123404217.6,39726,1625.381,59053539.29,0
1.69996E+12,36299.7,36358.6,36262.1,36288.8,2811.522,1.69996E+12,102069789.1,32379,1537.833,55830388.2,0
1.69996E+12,36288.9,36354.8,36251.2,36323.2,3251.596,1.69996E+12,118029515.4,37336,1771.029,64292442.15,0
1.69996E+12,36323.2,36387.5,36276.8,36338.8,2571.784,1.69996E+12,93450925.9,30315,1421.748,51664705.85,0
1.69997E+12,36338.8,36365.2,36201.5,36365.1,3813.609,1.69997E+12,138387282,38856,1758.854,63847376.38,0
1.69997E+12,36365.2,36432,36315,36376.9,3762.435,1.69997E+12,136849195.1,40309,2010.25,73122576.04,0
1.69997E+12,36376.9,36497.8,36371.6,36492,4133.689,1.69997E+12,150662763.8,40110,2440.136,88930796.86,0
1.69997E+12,36492,36499,36410.1,36434.8,2912.763,1.69997E+12,106184707.2,30497,1398.886,50996463.89,0
1.69997E+12,36434.9,36699.9,36419.5,36538,15974.988,1.69997E+12,584588806.9,145528,7896.266,288965341.9,0
1.69997E+12,36538,36630,36501.7,36528.4,4513.177,1.69997E+12,165027053.3,49501,2235.506,81756317.4,0
1.69997E+12,36528.4,36613.7,36482.7,36602.1,3306.288,1.69997E+12,120869815.5,39854,1719.018,62843067.1,0
1.69997E+12,36602.1,36677.5,36561,36600.5,3969.551,1.69997E+12,145399939.3,37207,2142.325,78474939.76,0
1.69997E+12,36600.4,36664.1,36544.5,36645.8,3075.311,1.69997E+12,112588577.4,38146,1561.213,57159658.8,0
1.69997E+12,36645.9,36720,36590,36616.1,4292.275,1.69997E+12,157326642.9,44513,2317.267,84939758.81,0
1.69997E+12,36616.1,36642.3,36485.7,36522,3569.703,1.69997E+12,130456620.7,37052,1416.525,51765642.56,0
1.69997E+12,36522.1,36538.7,36232,36271.7,10500.211,1.69998E+12,381702274.9,97961,4599.149,167184747.9,0
1.69998E+12,36271.7,36354,35665.2,36206.9,30037.883,1.69998E+12,1082854214,222462,13034.216,470149646.6,0
1.69998E+12,36206.9,36280,36131.8,36168.7,6361.101,1.69998E+12,230331554.6,61198,2987.692,108190698.5,0
1.69998E+12,36168.8,36320,36138.4,36303.4,5230.05,1.69998E+12,189497102.3,46152,2810.425,101829363.5,0
1.69998E+12,36303.4,36364.9,36250,36312.5,3804.621,1.69998E+12,138133775.2,38596,1866.191,67759543.15,0
1.69998E+12,36313.4,36449,36278,36392.2,4261.104,1.69998E+12,155020305,42345,2493.983,90736874.78,0
1.69998E+12,36392.5,36420,36280.4,36289.8,3182.212,1.69998E+12,115624833.1,30922,1296.336,47101502.31,0
1.69998E+12,36289.7,36323.6,36155.7,36207.1,4590.224,1.69998E+12,166303927.4,42860,1889.699,68465098.88,0
1.69998E+12,36207.2,36347.1,36145.6,36297,3940.229,1.69998E+12,142808291.8,39375,2172.35,78729577.79,0
1.69998E+12,36297,36322,36221.3,36237.2,1763.634,1.69998E+12,63958859.87,23166,847.763,30746132.66,0
1.69998E+12,36237.2,36252.4,36087.1,36119.9,3726.646,1.69998E+12,134739891.4,38678,1584.401,57284683.02,0
1.69998E+12,36120,36158.2,35850,35889,11551.865,1.69999E+12,415860471.2,106446,4987.692,179614414.5,0
1.69999E+12,35889.1,36057.5,35828.8,35969.6,6583.784,1.69999E+12,236753997.8,67858,3595.295,129309254.7,0
